"Datum","Rendite"
"2004-04-23",0.058768693539511
"2004-04-26",-0.444498255889842
"2004-04-27",0.227202798174529
"2004-04-28",-1.37947572791043
"2004-04-29",-0.759082576056162
"2004-04-30",-0.591617297152987
"2004-05-03",0.920251110726727
"2004-05-04",0.184346975671783
"2004-05-05",0.176854978637946
"2004-05-06",-0.672299341527482
"2004-05-07",-1.3725472524219
"2004-05-10",-1.05396891930871
"2004-05-11",0.766240712921487
"2004-05-12",0.167061762915717
"2004-05-13",-0.0765609486910586
"2004-05-14",-0.0674902447757541
"2004-05-17",-1.05868171203378
"2004-05-18",0.681672739009457
"2004-05-19",-0.257440382023119
"2004-05-20",0.0468353395588308
"2004-05-21",0.40122643769438
"2004-05-24",0.169169949540018
"2004-05-25",1.61035725915214
"2004-05-26",0.169793982013485
"2004-05-27",0.568648387850689
"2004-05-28",-0.053508042993967
"2004-06-01",0.0463912066735265
"2004-06-02",0.33803417460192
"2004-06-03",-0.742226604167392
"2004-06-04",0.524787301304087
"2004-06-07",1.5964404454343
"2004-06-08",0.154329977735814
"2004-06-09",-0.949946373341229
"2004-06-10",0.45433385483518
"2004-06-14",-0.983741962857372
"2004-06-15",0.597176795946026
"2004-06-16",0.136928912845916
"2004-06-17",-0.133209527630328
"2004-06-18",0.262353329927729
"2004-06-21",-0.415849140705024
"2004-06-22",0.36361893495769
"2004-06-23",0.850664637192368
"2004-06-24",-0.298064334400462
"2004-06-25",-0.545300475091219
"2004-06-28",-0.09520886688356
"2004-06-29",0.251464689667941
"2004-06-30",0.408380144350134
"2004-07-01",-1.04309327816798
"2004-07-02",-0.315334400946676
"2004-07-06",-0.814839783829282
"2004-07-07",0.189927977179198
"2004-07-08",-0.824441029280627
"2004-07-09",0.333607491596053
"2004-07-12",0.138380938197474
"2004-07-13",0.0708968472217187
"2004-07-14",-0.32911060051952
"2004-07-15",-0.430063800617057
"2004-07-16",-0.478898904169234
"2004-07-19",-0.0444884185734985
"2004-07-20",0.705787976256773
"2004-07-21",-1.33403433059656
"2004-07-22",0.270592842585145
"2004-07-23",-0.970060841127296
"2004-07-26",-0.196096952318863
"2004-07-27",0.992556803156682
"2004-07-28",0.0538976849113474
"2004-07-29",0.457359715795009
"2004-07-30",0.117219353952692
"2004-08-02",0.444761294065716
"2004-08-03",-0.626236109171326
"2004-08-04",-0.096384986393188
"2004-08-05",-1.63203753023293
"2004-08-06",-1.54806891445858
"2004-08-09",0.117484518743058
"2004-08-10",1.29739099681224
"2004-08-11",-0.301193642731917
"2004-08-12",-1.16751954792918
"2004-08-13",0.147669744978398
"2004-08-16",1.36550679290963
"2004-08-17",0.219578175056664
"2004-08-18",1.24433383118305
"2004-08-19",-0.359767327602315
"2004-08-20",0.652474375749821
"2004-08-23",-0.243084814343369
"2004-08-24",0.0465361213922548
"2004-08-25",0.800045655591354
"2004-08-26",0.0117655846898133
"2004-08-27",0.24251907830642
"2004-08-30",-0.778139491444253
"2004-08-31",0.46308200781152
"2004-09-01",0.15123922472686
"2004-09-02",1.12125079064071
"2004-09-03",-0.418493418916831
"2004-09-07",0.688742577477513
"2004-09-08",-0.448589028822919
"2004-09-09",0.189021021992515
"2004-09-10",0.495362844045122
"2004-09-13",0.169042451920193
"2004-09-14",0.222949505284388
"2004-09-15",-0.705463943208472
"2004-09-16",0.279372440708748
"2004-09-17",0.449492567868264
"2004-09-20",-0.56267757071356
"2004-09-21",0.632694556230638
"2004-09-22",-1.39378281387111
"2004-09-23",-0.46697741697647
"2004-09-24",0.157890940099213
"2004-09-27",-0.593631720193934
"2004-09-28",0.592652501220592
"2004-09-29",0.42700302218513
"2004-09-30",-0.0197428229571154
"2004-10-01",1.51806462236433
"2004-10-04",0.324352098983647
"2004-10-05",-0.06078948291908
"2004-10-06",0.66727215406656
"2004-10-07",-0.998207128486355
"2004-10-08",-0.752665176611722
"2004-10-11",0.20050973763733
"2004-10-12",-0.226793991940594
"2004-10-13",-0.730045483154054
"2004-10-14",-0.930272956201189
"2004-10-15",0.445024592486154
"2004-10-18",0.525182210552171
"2004-10-19",-0.968567871877192
"2004-10-20",0.0389813554559066
"2004-10-21",0.25641555486461
"2004-10-22",-0.971540646291793
"2004-10-25",-0.0857813905286134
"2004-10-26",1.48793535539932
"2004-10-27",1.28792973007552
"2004-10-28",0.181261503154194
"2004-10-29",0.244803283938294
"2004-11-01",0.027433995172763
"2004-11-02",0.00442711692574438
"2004-11-03",1.11802039169687
"2004-11-04",1.61564851221726
"2004-11-05",0.387373335762801
"2004-11-08",-0.109763495176867
"2004-11-09",-0.0695395264418942
"2004-11-10",-0.100501859341356
"2004-11-11",0.90892207401833
"2004-11-12",0.910971144134891
"2004-11-15",-0.030399772551589
"2004-11-16",-0.707884253583622
"2004-11-17",0.553830232419781
"2004-11-18",0.136225872749304
"2004-11-19",-1.11614063225812
"2004-11-22",0.589574328866424
"2004-11-23",-0.0254874963939973
"2004-11-24",0.409542478089787
"2004-11-26",0.0753125839822643
"2004-11-29",-0.344994539145247
"2004-11-30",-0.403030810018636
"2004-12-01",1.495122745171
"2004-12-02",-0.0872977332285407
"2004-12-03",0.0705760613488184
"2004-12-06",-0.0772386784434584
"2004-12-07",-1.10733492963662
"2004-12-08",0.487661164020565
"2004-12-09",0.543614839176822
"2004-12-10",-0.104267432177422
"2004-12-13",0.898994444444438
"2004-12-14",0.392093868944953
"2004-12-15",0.194449466525747
"2004-12-16",-0.20817520322884
"2004-12-17",-0.748831067897049
"2004-12-20",0.0376882447217564
"2004-12-21",0.904024340437298
